REF_AREA,country_name,TIME_PERIOD,period_sort,access_finance_main_problem,bank_loan_cost_too_high,bank_loan_limited_amount,bank_loan_rejected,bank_willingness_deteriorated,interest_rates_increased,z_access_finance_main_problem,z_bank_loan_rejected,z_bank_loan_cost_too_high,z_bank_loan_limited_amount,z_bank_willingness_deteriorated,z_interest_rates_increased,components_available,SME_FPI_equal_raw,SME_FPI_equal_z,fbz_access_finance_main_problem,fbz_bank_loan_rejected,fbz_bank_loan_cost_too_high,fbz_bank_loan_limited_amount,fbz_bank_willingness_deteriorated,fbz_interest_rates_increased,SME_FPI_fixed_baseline_raw,SME_FPI_fixed_baseline_z,SME_FPI_pca_weighted_raw,SME_FPI_pca_weighted_z,SME_FPI_reliability_weighted_raw,SME_FPI_reliability_weighted_z,PC1,PC2,SME_FPI_pca_z,cluster,cluster_name,CISS_mean,CISS_max,CISS_z,Hidden_SME_Stress,Relative_Gap_equal,Relative_Gap_fixed_baseline,Relative_Gap_pca_weighted,Relative_Gap_reliability_weighted,year,country_name_wb,domestic_credit_private_pct_gdp,gdp_growth_pct,inflation_cpi_pct,unemployment_pct,domestic_credit_private_pct_gdp_change,macro_gdp_slowdown_z,macro_unemployment_z,macro_inflation_z,macro_credit_contraction_z,macro_stress_context_z,access_finance_severity_1_10,access_finance_top_box_8_10,access_finance_high_pressure_7_10,future_SME_FPI_equal_z_1h,future_SME_FPI_equal_z_2h,future_SME_FPI_pca_weighted_z_1h,future_SME_FPI_pca_weighted_z_2h,future_SME_FPI_reliability_weighted_z_1h,future_SME_FPI_reliability_weighted_z_2h,future_CISS_z_1h,future_CISS_z_2h,future_macro_stress_context_z_1h,future_macro_stress_context_z_2h,future_access_finance_severity_1_10_1h,future_access_finance_severity_1_10_2h,future_access_finance_top_box_8_10_1h,future_access_finance_top_box_8_10_2h,future_access_finance_high_pressure_7_10_1h,future_access_finance_high_pressure_7_10_2h
AT,Austria,2009-S1,20091,9.163446,4.920178,,6.161737,26.82178,13.07885,-0.2405418019641393,-0.4854536928189589,1.0320772977480774,,0.5904695639109716,-0.917936018653179,5,-0.0042769303554456,-0.0133187515228959,-0.0312929287409183,-0.2977236114734205,1.97741637949058,,2.326448169495753,-0.5978172917868619,0.6754061433970264,1.0268052542214108,-0.0278944979088027,-0.0448265957631718,-0.0137631012609416,-0.0252520240533701,-0.0550849072111093,0.3327081027104861,-0.0320281885317164,1,Bank Loan Cost Too High driven stress,0.7425331086962532,0.9090082718714998,3.356298074614142,-3.3696168261370385,-3.3696168261370385,-2.329492820392732,-3.4011246703773144,-3.3815500986675127,2009,Austria,98.3438510262014,-3.58626472551299,0.506308827696504,5.371,,1.1743265026462117,-0.7388528751898242,-0.6135535044998947,,-0.05935995901450238,,,,0.6088171961880907,-0.6999853165971542,0.3659868624683648,-0.5722944382084167,0.3293248205995667,-0.535909386448186,1.1327555316474174,0.7610234829998275,-0.05935995901450238,-0.38707303956535016,,,,,,
AT,Austria,2009-S2,20092,6.478622,8.266948,,14.31351,25.69492,16.35983,-0.6447356109199559,0.7081604280701191,2.342526469388305,,0.5034864402234026,-0.7719893652298647,5,0.4274896723064013,0.6088171961880907,-0.5780538105540127,1.317405135249739,3.992657578055874,,2.1526427693280885,-0.0656729279818515,1.363795748819567,2.073348983071925,0.2758356521639125,0.3659868624683648,0.252301227758191,0.3293248205995667,0.5447089011833431,1.2486044048712353,0.316711786681302,1,Bank Loan Cost Too High driven stress,0.3626143295814082,0.6250423024336809,1.1327555316474174,-0.5239383354593267,-0.5239383354593267,0.9405934514245076,-0.7667686691790525,-0.8034307110478507,2009,Austria,98.3438510262014,-3.58626472551299,0.506308827696504,5.371,,1.1743265026462117,-0.7388528751898242,-0.6135535044998947,,-0.05935995901450238,,,,-0.6999853165971542,-0.534311874609746,-0.5722944382084167,-0.4777965855653403,-0.535909386448186,-0.4511200520119314,0.7610234829998275,1.0831881394244005,-0.38707303956535016,-0.38707303956535016,,,,,,
AT,Austria,2010-S1,20101,7.910672,0.0,4.777519,3.293514,21.95452,22.11973,-0.4291439206955028,-0.9054299942516452,-0.8944498267398536,-0.3549340980634114,0.2147623078192151,-0.5157738049238135,6,-0.4808282228091686,-0.6999853165971542,-0.2864187086626256,-0.8660109545229067,-0.9852447564328908,-0.2032696181012353,1.5757284065970207,0.8685291461181066,0.0172189191659114,0.026177547901246,-0.4178717095466246,-0.5722944382084167,-0.3969457893951465,-0.535909386448186,-0.9861770227470794,-0.6117777715383307,-0.5733959665056886,2,Low SME financing pain,0.2990994728377089,0.620198322154093,0.7610234829998275,-1.4610087995969816,-1.4610087995969816,-0.7348459350985814,-1.3333179212082442,-1.2969328694480136,2010,Austria,99.1468795000545,1.80898243043663,1.81353438995061,4.883,0.8030284738530895,-0.1486943699637335,-0.8328521311679393,-0.07241583443474073,-0.494329822694987,-0.38707303956535016,,,,-0.534311874609746,-0.2005278807613437,-0.4777965855653403,-0.2234221999383933,-0.4511200520119314,-0.2014457229684448,1.0831881394244005,0.4235933446842546,-0.38707303956535016,-0.1897250152948565,,,,,,
AT,Austria,2010-S2,20102,8.260863,0.0,4.053249,1.901498,22.08682,44.26475,-0.3764235061908475,-1.1092543590988424,-0.8944498267398536,-0.509240428535806,0.2249746387776885,0.4692951558721566,6,-0.3658497209859174,-0.534311874609746,-0.2151027713933634,-1.1418141518762412,-0.9852447564328908,-0.4362488028283569,1.5961341841045922,4.460244907673872,0.5463281015412687,0.8305707175980254,-0.3480058217824161,-0.4777965855653403,-0.3333222964486675,-0.4511200520119314,-0.8212935630325107,0.0074627816154995,-0.4775272648800129,2,Low SME financing pain,0.3541451490852484,0.5197611348289679,1.0831881394244005,-1.6175000140341464,-1.6175000140341464,-0.2526174218263751,-1.5609847249897408,-1.534308191436332,2010,Austria,99.1468795000545,1.80898243043663,1.81353438995061,4.883,0.8030284738530895,-0.1486943699637335,-0.8328521311679393,-0.07241583443474073,-0.494329822694987,-0.38707303956535016,,,,-0.2005278807613437,-0.4843842399394502,-0.2234221999383933,-0.4506401107247421,-0.2014457229684448,-0.4134956750191307,0.4235933446842546,2.257957111631798,-0.1897250152948565,-0.1897250152948565,,,,,,
AT,Austria,2011-S1,20111,7.343262,1.408845,5.749412,0.0,28.59319,53.05953,-0.5145661342706271,-1.387679048260616,-0.3428075677201192,-0.1478714799212722,0.727205959853144,0.8605101918048035,6,-0.1342013464191146,-0.2005278807613437,-0.4019710100237456,-1.5185621405207477,-0.1369156252429009,0.1093635694973073,2.59966811155688,5.8866762202405525,1.0897098542512242,1.6566621652185156,-0.1599370796975779,-0.2234221999383933,-0.1459738166141224,-0.2014457229684448,-0.3774514270280388,0.6092043096061632,-0.2194627544726322,0,Interest Rates Increased driven stress,0.2414455068315706,0.3489826909138579,0.4235933446842546,-0.6241212254455983,-0.6241212254455983,1.233068820534261,-0.647015544622648,-0.6250390676526995,2011,Austria,96.672569255418,2.92746800169145,3.2865791487538,4.637,-2.4743102446364986,-0.4229690628017353,-0.8802370020093663,0.537364169641936,0.00694183398973966,-0.1897250152948565,,,,-0.4843842399394502,-0.4293101790580576,-0.4506401107247421,-0.3410181031793939,-0.4134956750191307,-0.3044046757241016,2.257957111631798,1.018630450503462,-0.1897250152948565,-0.14301987722181184,,,,,,
AT,Austria,2011-S2,20112,8.273566,1.995827,1.415273,1.567416,27.47687,35.70834,-0.3745111000312013,-1.1581719372422554,-0.1129710161591441,-1.0712634260840213,0.6410364262510047,0.088683446926116,6,-0.3311996010565836,-0.4843842399394502,-0.2125158221253026,-1.2080065546777872,0.2165327172533727,-1.2848183940163302,2.427488387087854,3.072474986520792,0.5018592200070998,0.7629656452204219,-0.3279279981047603,-0.4506401107247421,-0.3050900394067539,-0.4134956750191307,-0.7739099093289521,0.4472888219706311,-0.4499768400726699,2,Low SME financing pain,0.5548684476228806,0.7150665629513893,2.257957111631798,-2.7423413515712483,-2.7423413515712483,-1.494991466411376,-2.70859722235654,-2.671452786650929,2011,Austria,96.672569255418,2.92746800169145,3.2865791487538,4.637,-2.4743102446364986,-0.4229690628017353,-0.8802370020093663,0.537364169641936,0.00694183398973966,-0.1897250152948565,,,,-0.4293101790580576,-0.4153509065854734,-0.3410181031793939,-0.3904155227539965,-0.3044046757241016,-0.3677752111185103,1.018630450503462,0.1364483992920814,-0.14301987722181184,-0.14301987722181184,,,,,,
AT,Austria,2012-S1,20121,8.207702,0.817821,7.571287,0.817821,26.65756,25.8609,-0.3844267671412489,-1.267930535396037,-0.5742267902001504,0.2402805156458422,0.5777933054831521,-0.349356685225522,6,-0.292977826138994,-0.4293101790580576,-0.225928939230833,-1.3565254637421031,-0.492797838284387,0.6954142856317939,2.301119093287942,1.4753120370642236,0.3994321957877726,0.607248070438392,-0.2468802423998939,-0.3410181031793939,-0.2232312717879356,-0.3044046757241016,-0.5826372469415507,-0.3723134253088344,-0.3387645824495595,2,Low SME financing pain,0.3431146975047743,0.5303005312095004,1.018630450503462,-1.4479406295615196,-1.4479406295615196,-0.41138238006507,-1.359648553682856,-1.3230351262275637,2012,Austria,94.8379795773965,0.628246239479637,2.48567562177014,4.909,-1.8345896780215014,0.14084540097324985,-0.8278439740871382,0.20582301786735394,-0.09090395364071287,-0.14301987722181184,,,,-0.4153509065854734,-0.566816698173081,-0.3904155227539965,-0.4900672648927062,-0.3677752111185103,-0.4726885014697511,0.1364483992920814,-0.5489581069535545,-0.14301987722181184,-0.1302404034922663,,,,,,
AT,Austria,2012-S2,20122,7.296931,1.784107,9.542281,0.0,22.56116,22.10475,-0.5215411551147242,-1.387679048260616,-0.1958713345615647,0.6602024391317065,0.2615892802504195,-0.5164401548766573,6,-0.283289995571906,-0.4153509065854734,-0.4114062573305644,-1.5185621405207477,0.0890465540093362,1.3294327804224773,1.6692957600905445,0.8660995297931672,0.3373177044107022,0.5128167616136295,-0.2834016497685466,-0.3904155227539965,-0.2707827101673929,-0.3677752111185103,-0.6688277498220346,-0.1953529177912991,-0.3888785939939567,2,Low SME financing pain,0.1923833661374513,0.449002168491289,0.1364483992920814,-0.5517993058775548,-0.5517993058775548,0.3763683623215481,-0.526863922046078,-0.5042236104105917,2012,Austria,94.8379795773965,0.628246239479637,2.48567562177014,4.909,-1.8345896780215014,0.14084540097324985,-0.8278439740871382,0.20582301786735394,-0.09090395364071287,-0.14301987722181184,,,,-0.566816698173081,-0.4362998781128153,-0.4900672648927062,-0.3316689861899243,-0.4726885014697511,-0.3008546534234387,-0.5489581069535545,-0.8369679893858253,-0.1302404034922663,-0.1302404034922663,,,,,,
AT,Austria,2013-S1,20131,6.854539,0.0,8.185896,3.733139,18.61284,26.18728,-0.5881422088640879,-0.8410584019740069,-0.8944498267398536,0.3712234781671505,-0.0431843446170016,-0.3348384410593578,6,-0.3884082908478596,-0.566816698173081,-0.5014988071688623,-0.7789070845699322,-0.9852447564328908,0.8931183238301887,1.0603120907882422,1.5282478298635334,0.2026712660517131,0.3081167130268076,-0.3570780057601242,-0.4900672648927062,-0.3495066444102353,-0.4726885014697511,-0.8427039126219982,-0.606256065459554,-0.4899759508795014,2,Low SME financing pain,0.075273484937346,0.1617983147347727,-0.5489581069535545,-0.0178585912195264,-0.0178585912195264,0.8570748199803622,0.0588908420608482,0.0762696054838033,2013,Austria,93.3411391388064,-0.250726423318454,2.00015616900597,5.367,-1.4968404385900982,0.35638681098132113,-0.739623360894563,0.004837913975207273,-0.1425629780310305,-0.1302404034922663,,,,-0.4362998781128153,-0.6309023360137359,-0.3316689861899243,-0.4680282462557352,-0.3008546534234387,-0.4303316597723806,-0.8369679893858253,-0.926541424079994,-0.1302404034922663,-0.08473749498933064,,,,,,
AT,Austria,2013-S2,20132,8.019711,0.0,9.433782,1.608303,24.18233,25.81442,-0.4127283609661749,-1.1521851046156857,-0.8944498267398536,0.6370866362544313,0.3867285438932642,-0.3514242383502335,6,-0.2978287250873753,-0.4362998781128153,-0.2642130595057283,-1.199905523274279,-0.9852447564328908,1.294531419654107,1.919342882705432,1.467773414448524,0.3720473962658607,0.5656155559731365,-0.2399680815410874,-0.3316689861899243,-0.2205674365271944,-0.3008546534234387,-0.5663245508179424,-0.6860151079382522,-0.3292798409230791,2,Low SME financing pain,0.0260635594278093,0.1362835388874606,-0.8369679893858253,0.4006681112730099,0.4006681112730099,1.402583545358962,0.5052990031959009,0.5361133359623865,2013,Austria,93.3411391388064,-0.250726423318454,2.00015616900597,5.367,-1.4968404385900982,0.35638681098132113,-0.739623360894563,0.004837913975207273,-0.1425629780310305,-0.1302404034922663,,,,-0.6309023360137359,-0.3105372074044956,-0.4680282462557352,-0.2898270699964216,-0.4303316597723806,-0.2846114487261408,-0.926541424079994,-0.8842185304458265,-0.08473749498933064,-0.08473749498933064,,,,,,
